公司代码,公司简称,symbol,name,A股上市日期,A股总股本,A股流通股本,industry,currency,exchange
600000,浦发银行,600000,浦发银行,1999-11-10,2161827.99,2051881.86, ,CNY,SSE
600004,白云机场,600004,白云机场,2003-04-28,115002.61,115002.61, ,CNY,SSE
600005,武钢股份,600005,武钢股份,1999-08-03,1009377.98,1009377.98, ,CNY,SSE
600006,东风汽车,600006,东风汽车,1999-07-27,200000,200000, ,CNY,SSE
600007,中国国贸,600007,中国国贸,1999-03-12,100728.25,100728.25, ,CNY,SSE
600008,首创股份,600008,首创股份,2000-04-27,482061.41,482061.41, ,CNY,SSE
600009,上海机场,600009,上海机场,1998-02-18,192695.84,109347.64, ,CNY,SSE
600010,包钢股份,600010,包钢股份,2001-03-09,3256073.76,1574202.42, ,CNY,SSE
600011,华能国际,600011,华能国际,2001-12-06,1520038.34,1520038.34, ,CNY,SSE
600012,皖通高速,600012,皖通高速,2003-01-07,165861,165861, ,CNY,SSE
600015,华夏银行,600015,华夏银行,2003-09-12,1068557.22,1068557.22, ,CNY,SSE
600016,民生银行,600016,民生银行,2000-12-19,3648534.88,3648534.88, ,CNY,SSE
600017,日照港,600017,日照港,2006-10-17,307565.39,307565.39, ,CNY,SSE
600018,上港集团,600018,上港集团,2006-10-26,2317367.47,2275517.97, ,CNY,SSE
600019,宝钢股份,600019,宝钢股份,2000-12-12,1646692.72,1642427.88, ,CNY,SSE
600020,中原高速,600020,中原高速,2003-08-08,224737.18,224737.18, ,CNY,SSE
600021,上海电力,600021,上海电力,2003-10-29,213973.93,213973.93, ,CNY,SSE
600022,山东钢铁,600022,山东钢铁,2004-06-29,842042.28,822201.01, ,CNY,SSE
600023,浙能电力,600023,浙能电力,2013-12-19,1360069,298759.97, ,CNY,SSE
600026,中海发展,600026,中海发展,2002-05-23,403203.29,403203.29, ,CNY,SSE
600027,华电国际,600027,华电国际,2005-02-03,986297.67,850183.93, ,CNY,SSE
600028,中国石化,600028,中国石化,2001-08-08,12107120.96,12107120.96, ,CNY,SSE
600029,南方航空,600029,南方航空,2003-07-25,981756.7,981756.7, ,CNY,SSE
600030,中信证券,600030,中信证券,2003-01-06,1211690.84,1209298.94, ,CNY,SSE
600031,三一重工,600031,三一重工,2003-07-03,761086.1,759372.04, ,CNY,SSE
600033,福建高速,600033,福建高速,2001-02-09,274440,274440, ,CNY,SSE
600035,楚天高速,600035,楚天高速,2004-03-10,145337.79,145337.79, ,CNY,SSE
600036,招商银行,600036,招商银行,2002-04-09,2521984.56,2521984.56, ,CNY,SSE
600037,歌华有线,600037,歌华有线,2001-02-08,139177.79,116835.2, ,CNY,SSE
600038,中直股份,600038,中直股份,2000-12-18,58947.67,39265, ,CNY,SSE
600039,四川路桥,600039,四川路桥,2003-03-25,301973.27,301973.27, ,CNY,SSE
600048,保利地产,600048,保利地产,2006-07-31,1185781.21,1075891.09, ,CNY,SSE
600050,中国联通,600050,中国联通,2002-10-09,2119659.64,2119659.64, ,CNY,SSE
