買賣單位,symbol,name,currency,exchange,industry,買賣單位
500,00001,長和,HKD,HKEX, ,500
500,00002,中電控股,HKD,HKEX, ,500
"1,000",00003,香港中華煤氣,HKD,HKEX, ,"1,000"
"1,000",00004,九龍倉集團,HKD,HKEX, ,"1,000"
400,00005,匯豐控股,HKD,HKEX, ,400
500,00006,電能實業,HKD,HKEX, ,500
"2,000",00007,凱富能源,HKD,HKEX, ,"2,000"
"1,000",00008,電訊盈科,HKD,HKEX, ,"1,000"
"6,000",00009,九號運通,HKD,HKEX, ,"6,000"
"1,000",00010,恒隆集團,HKD,HKEX, ,"1,000"
100,00011,恒生銀行,HKD,HKEX, ,100
"1,000",00012,恒基地產,HKD,HKEX, ,"1,000"
"1,000",00014,希慎興業,HKD,HKEX, ,"1,000"
"2,000",00015,盈信控股,HKD,HKEX, ,"2,000"
"1,000",00016,新鴻基地產,HKD,HKEX, ,"1,000"
"1,000",00017,新世界發展,HKD,HKEX, ,"1,000"
"2,000",00018,東方報業集團,HKD,HKEX, ,"2,000"
500,00019,太古股份公司Ａ,HKD,HKEX, ,500
"1,000",00020,會德豐,HKD,HKEX, ,"1,000"
"5,000",00021,大中華地產控股,HKD,HKEX, ,"5,000"
"40,000",00022,茂盛控股,HKD,HKEX, ,"40,000"
200,00023,東亞銀行,HKD,HKEX, ,200
"2,000",00024,寶威控股,HKD,HKEX, ,"2,000"
"2,000",00025,CHEVALIER INT'L,HKD,HKEX, ,"2,000"
200,00026,中華汽車,HKD,HKEX, ,200
"1,000",00027,銀河娛樂,HKD,HKEX, ,"1,000"
"1,000",00028,天安,HKD,HKEX, ,"1,000"
"2,000",00029,達力集團,HKD,HKEX, ,"2,000"
"2,000",00030,萬隆控股集團,HKD,HKEX, ,"2,000"
"2,000",00031,航天控股,HKD,HKEX, ,"2,000"
"1,000",00032,港通控股,HKD,HKEX, ,"1,000"
"2,000",00033,亞投金融集團,HKD,HKEX, ,"2,000"
"1,000",00034,九龍建業,HKD,HKEX, ,"1,000"
"1,000",00035,遠東發展,HKD,HKEX, ,"1,000"
"3,000",00036,遠東控股國際,HKD,HKEX, ,"3,000"
"2,000",00037,遠東酒店實業,HKD,HKEX, ,"2,000"
"2,000",00038,第一拖拉機股份,HKD,HKEX, ,"2,000"
"8,000",00039,中國北大荒,HKD,HKEX, ,"8,000"
"1,000",00040,金山工業,HKD,HKEX, ,"1,000"
"1,000",00041,鷹君,HKD,HKEX, ,"1,000"
"2,000",00042,東北電氣,HKD,HKEX, ,"2,000"
"2,000",00043,卜蜂國際,HKD,HKEX, ,"2,000"
400,00044,香港飛機工程,HKD,HKEX, ,400
500,00045,大酒店,HKD,HKEX, ,500
"2,000",00046,科聯系統,HKD,HKEX, ,"2,000"
"4,000",00047,合興集團,HKD,HKEX, ,"4,000"
"10,000",00048,中國汽車內飾,HKD,HKEX, ,"10,000"
"1,000",00050,香港小輪（集團）,HKD,HKEX, ,"1,000"
"1,000",00051,海港企業,HKD,HKEX, ,"1,000"
500,00052,FAIRWOOD HOLD,HKD,HKEX, ,500
"1,000",00053,國浩集團,HKD,HKEX, ,"1,000"
500,00054,合和實業,HKD,HKEX, ,500
"10,000",00055,中星集團控股,HKD,HKEX, ,"10,000"
"2,000",00056,聯合地產（香港）,HKD,HKEX, ,"2,000"
"2,000",00057,震雄集團,HKD,HKEX, ,"2,000"
"20,000",00058,新威國際,HKD,HKEX, ,"20,000"
"2,000",00059,天譽置業,HKD,HKEX, ,"2,000"
"2,000",00060,香港食品投資,HKD,HKEX, ,"2,000"
"5,000",00061,北亞資源,HKD,HKEX, ,"5,000"
400,00062,載通,HKD,HKEX, ,400
"1,000",00063,中國烯谷集團,HKD,HKEX, ,"1,000"
"2,000",00064,結好控股,HKD,HKEX, ,"2,000"
"4,000",00065,弘海高新資源,HKD,HKEX, ,"4,000"
500,00066,港鐵公司,HKD,HKEX, ,500
"2,000",00067,旭光高新材料,HKD,HKEX, ,"2,000"
"1,000",00068,利興發展,HKD,HKEX, ,"1,000"
"2,000",00069,香格里拉（亞洲）,HKD,HKEX, ,"2,000"
"10,000",00070,海王集團,HKD,HKEX, ,"10,000"
"1,000",00071,美麗華酒店,HKD,HKEX, ,"1,000"
"2,000",00072,現代傳播,HKD,HKEX, ,"2,000"
"1,000",00073,亞洲果業,HKD,HKEX, ,"1,000"
"2,000",00075,渝太地產,HKD,HKEX, ,"2,000"
"4,000",00076,南海石油,HKD,HKEX, ,"4,000"
