Symbol,Name,Type,Date,shares,Price,Cash Value,Commission,Currency,汇率,,
600016.SS,民生银行,买入,2009-2-12,2100, 4.85 ," -10,203.39 ", 18.39 ,人民币,,,
000039.SZ,中集集团,买入,2009-2-18,1300, 7.81 ," -10,169.24 ", 16.24 ,人民币,,,
000002.SZ,万科A,买入,2009-4-19,1558, 8.47 ," -13,207.10 ", 10.84 ,人民币,,,
002111.SZ,威海广泰,买入,2009-4-22,200, 16.00 ," -3,205.12 ", 5.12 ,人民币,,,
000039.SZ,中集集团,买入,2009-7-10,4000, 11.85 ," -47,400.00 ", -   ,人民币,,,
000528.SZ,柳工,买入,2009-8-31,400, 15.15 ," -6,136.00 ", 76.00 ,人民币,,,
000825.SZ,太钢不锈,买入,2010-1-1,1500, -9.54 ," -14,310.00 ", -   ,人民币,,,
600322.SS,天房发展,买入,2010-1-1,1000, -6.33 ," -6,330.00 ", -   ,人民币,,,
002051.SZ,中工国际,买入,2010-1-1,200, -26.98 ," -5,396.00 ", -   ,人民币,,,
000651.SZ,格力电器,买入,2010-1-7,2000, 25.64 ," -51,362.00 ", 82.00 ,人民币,,,
000039.SZ,中集集团,买入,2010-3-25,1400, 14.30 ," -20,052.00 ", 32.00 ,人民币,,,
000528.SZ,柳工,买入,2010-4-18,1000, 20.80 ," -20,833.34 ", 33.34 ,人民币,,,
000651.SZ,格力电器,卖出,2010-4-19,1000, 24.68 ," 24,615.86 ", 64.14 ,人民币,,,
600322.SS,天房发展,卖出,2010-4-20,1000, 5.40 ," 5,404.91 ", -   ,人民币,,,
000651.SZ,格力电器,买入,2010-4-20,1000, 24.05 ," -24,110.00 ", 60.00 ,人民币,,,
600016.SS,民生银行,买入,2010-5-4,1000, 6.94 ," -6,952.10 ", 12.10 ,人民币,,,
000651.SZ,格力电器,买入,2010-5-7,500, 20.11 ," -10,071.09 ", 16.09 ,人民币,,,
000651.SZ,格力电器,卖出,2010-5-10,1000, 19.45 ," 19,440.00 ", 10.00 ,人民币,,,
000002.SZ,万科A,红利,2010-5-17,,, 98.15 ,,人民币,,,
600660.SS,福耀玻璃,买入,2010-6-7,3000, 8.90 ," -26,745.69 ", 45.69 ,人民币,,,
000825.SZ,太钢不锈,红利,2010-6-24,,, 135.00 ,,人民币,,,
000528.SZ,柳工,红利,2010-6-24,,, 378.00 ,,人民币,,,
000039.SZ,中集集团,红利,2010-6-24,,, 723.00 ,,人民币,,,
600016.SS,民生银行,买入,2010-7-1,1500, 6.07 ," -9,121.06 ", 16.06 ,人民币,,,
000039.SZ,中集集团,买入,2010-7-2,1300, 11.47 ," -14,934.84 ", 23.84 ,人民币,,,
000651.SZ,格力电器,红利,2010-7-12,,, 600.00 ,,人民币,,,
000651.SZ,格力电器,拆分,2010-7-13,1.5,,,,人民币,,,
600016.SS,民生银行,拆分,2010-7-15,1.2,,,,人民币,,,
600016.SS,民生银行,红利,2010-7-21,,, 115.00 ,,人民币,,,
600519.SS,贵州茅台,买入,2010-7-28,100, 142.87 ," -14,286.81 ", -   ,人民币,,,
000550.SZ,江铃汽车,买入,2010-8-30,200, 26.33 ," -5,274.42 ", 8.42 ,人民币,,,
000651.SZ,格力电器,买入,2010-10-11,1400, 14.80 ," -20,753.13 ", 33.13 ,人民币,,,
000825.SZ,太钢不锈,卖出,2010-10-11,1500, 5.83 ," 8,752.19 ", -   ,人民币,,,
601166.SS,兴业银行,买入,2010-12-1,200, 24.24 ," -4,856.75 ", 8.75 ,人民币,,,
600519.SS,贵州茅台,卖出,2010-12-3,100, 200.98 ," 20,097.63 ", -   ,人民币,,,
000528.SZ,柳工,卖出,2010-12-3,700, 36.00 ," 25,134.51 ", 65.49 ,人民币,,,
002051.SZ,中工国际,红利,2010-12-6,,, 63.00 ,,人民币,,,
002051.SZ,中工国际,卖出,2010-12-8,200, 61.04 ," 12,208.19 ", -   ,人民币,,,
600660.SS,福耀玻璃,买入,2010-12-8,2000, 11.01 ," -22,057.21 ", 37.21 ,人民币,,,
600308.SS,华泰股份,买入,2010-12-8,2000, 9.92 ," -19,833.66 ", -   ,人民币,,,
601668.SS,中国建筑,买入,2011-1-17,8500, 3.51 ," -29,891.21 ", 56.21 ,人民币,,,
600308.SS,华泰股份,卖出,2011-1-20,2000, 9.38 ," 18,769.09 ", -   ,人民币,,,
000039.SZ,中集集团,卖出,2011-1-20,3000, 22.52 ," 67,384.41 ", 175.59 ,人民币,,,
600153.SS,建发股份,买入,2011-2-16,5000, 6.45 ," -32,306.57 ", 56.57 ,人民币,,,
000651.SZ,格力电器,买入,2011-2-28,300, 20.79 ," -6,246.97 ", 9.97 ,人民币,,,
000039.SZ,中集集团,卖出,2011-4-1,2500, 24.38 ," 60,791.59 ", 158.41 ,人民币,,,
200039.SZ,中集B,买入,2011-4-1,2500, 17.40 ," -43,520.00 ", 20.00 ,人民币,,,
600660.SS,福耀玻璃,红利,2011-4-7,,," 2,565.00 ",,人民币,,,
600066.SS,宇通客车,买入,2011-4-18,800, 23.82 ," -19,090.48 ", 31.28 ,人民币,,,
000568.SZ,泸州老窖,买入,2011-4-18,500, 43.57 ," -21,819.84 ", 34.84 ,人民币,,,
600153.SS,建发股份,卖出,2011-4-20,5000, 9.40 ," 46,872.85 ", 127.15 ,人民币,,,
000528.SZ,柳工,卖出,2011-4-26,700, 36.68 ," 25,608.90 ", 67.10 ,人民币,,,
000157.SZ,中联重科,买入,2011-4-26,3200, 15.38 ," -49,294.70 ", 78.70 ,人民币,,,
601166.SS,兴业银行,拆分,2011-4-28,1.8,,,,人民币,,,
000039.SZ,中集集团,卖出,2011-4-28,2500, 23.30 ," 58,098.61 ", 151.39 ,人民币,,,
200039.SZ,中集B,买入,2011-4-28,2500, 16.69 ," -41,767.00 ", 42.00 ,港币,83.725,,
000338.SZ,潍柴动力,买入,2011-5-6,400, 47.67 ," -19,098.49 ", 30.49 ,人民币,,,
002111.SZ,威海广泰,红利,2011-5-6,,, 27.00 ,,人民币,,,
000338.SZ,潍柴动力,买入,2011-5-12,400, 48.25 ," -19,330.86 ", 30.86 ,人民币,,,
600066.SS,宇通客车,红利,2011-5-18,,, 216.00 ,,人民币,,,
200039.SZ,中集B,买入,2011-5-23,2500, 13.99 ," -35,005.00 ", 30.00 ,港币,83.605,,
000002.SZ,万科A,红利,2011-5-26,,, 140.22 ,,人民币,,,
000651.SZ,格力电器,红利,2011-5-30,,, 904.50 ,,人民币,,,
000338.SZ,潍柴动力,买入,2011-6-2,400, 45.25 ," -18,128.94 ", 28.94 ,人民币,,,
200039.SZ,中集B,红利,2011-6-2,,," 2,811.83 ",,港币,83.411,,
601668.SS,中国建筑,红利,2011-6-9,,, 474.30 ,,人民币,,,
200039.SZ,中集B,买入,2011-6-10,3000, 11.86 ," -35,615.58 ", 35.58 ,港币,83.336,,
600016.SS,民生银行,红利,2011-6-13,,, 496.80 ,,人民币,,,
000568.SZ,泸州老窖,红利,2011-7-7,,, 450.00 ,,人民币,,,
000338.SZ,潍柴动力,红利,2011-7-7,,, 464.40 ,,人民币,,,
000157.SZ,中联重科,拆分,2011-7-8,1.3,,,,人民币,,,
000157.SZ,中联重科,红利,2011-7-14,,, 748.80 ,,人民币,,,
002111.SZ,威海广泰,拆分,2011-9-21,1.8,,,,人民币,,,
601166.SS,兴业银行,红利,2012-5-7,,, 106.56 ,,人民币,,,
600066.SS,宇通客车,红利,2012-5-11,,, 216.00 ,,人民币,,,
601668.SS,中国建筑,红利,2012-6-20,,, 612.00 ,,人民币,,,
200039.SZ,中集B,红利,2012-6-26,,," 5,535.70 ",,港币,81.462,,
600016.SS,民生银行,红利,2012-6-28,,," 1,490.40 ",,人民币,,,
000002.SZ,万科A,红利,2012-7-4,,, 182.28 ,,人民币,,,
600660.SS,福耀玻璃,红利,2012-7-5,,," 1,800.00 ",,人民币,,,
000651.SZ,格力电器,红利,2012-7-5,,," 1,777.50 ",,人民币,,,
002111.SZ,威海广泰,红利,2012-7-9,,, 19.44 ,,人民币,,,
000568.SZ,泸州老窖,红利,2012-7-12,,, 630.00 ,,人民币,,,
000550.SZ,江铃汽车,红利,2012-7-13,,, 137.60 ,,人民币,,,
002111.SZ,威海广泰,卖出,2012-7-25,360,8.7," 3,123.86 ",8.14,人民币,,,
000157.SZ,中联重科,买入,2012-7-25,1500,9.06," -13,611.75 ",21.73,人民币,,,
601668.SS,中国建筑,买入,2012-7-27,8000,3.14," -25,166.17 ",46.17,人民币,,,
000157.SZ,中联重科,红利,2012-8-2,,," 1,273.50 ",,人民币,,,
900905.SS,老凤祥B,买入,2012-8-6,1700,1.741," -2,962.66 ",1.48,美元,633.53,,
900905.SS,老凤祥B,拆分,2012-8-9,1.2,,,,美元,,,
000338.SZ,潍柴动力,红利,2012-8-16,,, 84.00 ,,人民币,,,
000338.SZ,潍柴动力,拆分,2012-8-16,1.2,,,,人民币,,,
900905.SS,老凤祥B,红利,2012-8-23,,, 24.20 ,,美元,633.16,,
000651.SZ,格力电器,买入,2012-8-28,500,20.49," -10,251.15 ",6.15,人民币,,,
600016.SS,民生银行,红利,2012-9-5,,, 745.20 ,,人民币,,,
900905.SS,老凤祥B,买入,2012-9-11,1900,1.59," -3,024.03 ",3.03,美元,633.91,,
600016.SS,民生银行,买入,2012-9-12,2000,5.7," -11,408.04 ",8.04,人民币,,,
900905.SS,老凤祥B,买入,2012-9-18,1800,1.66," -2,990.98 ",2.98,美元,633.91,,
601668.SS,中国建筑,买入,2012-10-23,6500,3.11," -20,231.03 ",16.03,人民币,,,
000651.SZ,格力电器,买入,2012-10-26,900,21.02," -18,929.35 ",11.35,人民币,,,
900905.SS,老凤祥B,买入,2012-11-8,400,1.69, -677.34 ,1.34,美元,633.91,,
600066.SS,宇通客车,买入,2012-11-8,400,21.62," -8,655.44 ",7.44,人民币,,,
600660.SS,福耀玻璃,买入,2012-11-8,1500,7.16," -10,746.19 ",6.19,人民币,,,
600660.SS,福耀玻璃,买入,2012-11-16,1500,6.97," -10,462.27 ",7.27,人民币,,,
600016.SS,民生银行,买入,2012-11-16,1800,6.1," -10,987.67 ",7.67,人民币,,,
600660.SS,福耀玻璃,买入,2012-11-29,1400,7.01," -9,820.89 ",6.89,人民币,,,
000157.SZ,中联重科,买入,2012-11-30,1300,7.98," -10,380.22 ",6.22,人民币,,,
000651.SZ,格力电器,买入,2012-12-4,400,23.06," -9,229.53 ",5.53,人民币,,,
