,600909.SS,511010.SS,000786.SZ,601166.SS,510330.SS,000002.SZ,000300.SS.I,600660.SS,000001.SS.I,000651.SZ,01988.HK,601229.SS,000333.SZ,601668.SS,000338.SZ,600016.SS,03968.HK,200869.SZ,399001.SZ.I,600031.SS,01157.HK,002839.SZ,000157.SZ,900905.SS,02039.HK,600690.SS
,华安证券,国债ETF,北新建材,兴业银行,华夏300,万科Ａ,沪深300,福耀玻璃,上证指数,格力电器,民生银行,上海银行,美的集团,中国建筑,潍柴动力,民生银行,招商银行,张裕Ｂ,深证成指,三一重工,中联重科,张家港行,中联重科,老凤祥Ｂ,中集集团,青岛海尔
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,,,,,,,,,,,6.930422,,,,,,14.134912,,,,9.791600,,,,12.292811,
2013-01-03,,,,,,,,,,,6.802869,,,,,,14.310607,,,,9.693521,,,,14.101114,
2013-01-04,,,,,,,,,,,6.753269,,,,,,14.198816,,,,9.644482,,,,13.973254999999998,
2013-01-05,,,,,,,,,,,6.753269,,,,,,14.198816,,,,9.644482,,,,13.973254999999998,
2013-01-06,,,,,,,,,,,6.753269,,,,,,14.198816,,,,9.644482,,,,13.973254999999998,
2013-01-07,,,,,,,,,,,6.859564,,,,,,14.278656,,,,9.644482,,,,13.754067000000001,
2013-01-08,,,,,,,,,,,6.576104,,,,,,13.895311,,,,9.644482,,,,13.607942000000001,
2013-01-09,,,,,,,,,,,6.739093,,,,,,14.039056,,,,9.023312,,,,13.57141,
2013-01-10,,,,,,,,,,,6.824128,,,,,,14.150847,,,,9.023312,,,,13.644473000000001,
2013-01-11,,,,,,,,,,,6.710751,,,,,,14.023122,,,,8.761766,,,,13.553144,
2013-01-12,,,,,,,,,,,6.710751,,,,,,14.023122,,,,8.761766,,,,13.553144,
2013-01-13,,,,,,,,,,,6.710751,,,,,,14.023122,,,,8.761766,,,,13.553144,
2013-01-14,,,,,,,,,,,6.987117,,,,,,14.422399,,,,8.876192,,,,13.607942000000001,
2013-01-15,,,,,,,,,,,7.157188,,,,,,14.502238,,,,8.908885,,,,13.041704,
2013-01-16,,,,,,,,,,,7.086319,,,,,,14.326545,,,,8.761766,,,,12.859048,
2013-01-17,,,,,,,,,,,7.072153,,,,,,14.358497,,,,8.745420,,,,12.457203,
2013-01-18,,,,,,,,,,,7.426463,,,,,,14.773792,,,,9.056004,,,,12.89558,
2013-01-19,,,,,,,,,,,7.426463,,,,,,14.773792,,,,9.056004,,,,12.89558,
2013-01-20,,,,,,,,,,,7.426463,,,,,,14.773792,,,,9.056004,,,,12.89558,
2013-01-21,,,,,,,,,,,7.398121,,,,,,14.741838,,,,9.039659,,,,12.712922,
2013-01-22,,,,,,,,,,,7.497333,,,,,,15.045259,,,,8.941578,,,,15.032666,
2013-01-23,,,,,,,,,,,7.724088,,,,,,14.981439,,,,8.680034,,,,14.667352,
2013-01-24,,,,,,,,,,,7.894162,,,,,,14.981439,,,,8.369448,,,,14.119381,
2013-01-25,,,,,,,,,,,7.695745,,,,,,14.725822,,,,8.467527,,,,13.516613000000001,
2013-01-26,,,,,,,,,,,7.695745,,,,,,14.725822,,,,8.467527,,,,13.516613000000001,
2013-01-27,,,,,,,,,,,7.695745,,,,,,14.725822,,,,8.467527,,,,13.516613000000001,
