Date,Open,High,Low,Close,Adj Close,Volume
2012-07-09,14.033000,14.091700,13.759400,13.798500,11.275978,37595711
2012-07-10,13.779000,13.779000,13.564000,13.622600,11.132234,22837712
2012-07-11,13.427200,13.466300,13.192600,13.388100,10.940602,20865324
2012-07-12,13.251300,13.309900,12.919000,13.075400,10.685069,18629169
2012-07-13,13.173100,13.368500,13.036300,13.075400,10.685069,11777874
2012-07-16,13.094900,13.290300,13.036300,13.055800,10.669053,9164166
2012-07-17,13.055800,13.427200,13.055800,13.329400,10.892634,13705402
2012-07-18,13.309900,13.349000,13.055800,13.212200,10.796861,10650599
2012-07-19,13.388100,13.759400,13.349000,13.622600,11.132234,21799800
2012-07-20,13.622600,13.779000,13.544400,13.759400,11.244025,12934424
2012-07-23,13.564000,13.564000,13.212200,13.270800,10.844748,19497479
2012-07-24,13.270800,13.427200,13.094900,13.290300,10.860683,10839107
2012-07-25,13.094900,13.427200,13.094900,13.388100,10.940602,21348628
2012-07-26,13.329400,13.388100,13.153500,13.270800,10.844748,12089697
2012-07-27,13.524900,13.759400,13.466300,13.603100,11.116299,16984143
2012-07-30,13.700800,13.935300,13.681200,13.798500,11.275978,17235000
2012-07-31,13.739900,14.072100,13.720300,13.993900,11.435657,14184626
2012-08-01,13.739900,14.111200,13.739900,14.052600,11.483625,13301389
2012-08-02,14.111200,14.111200,13.818100,13.915800,11.371834,8460430
2012-08-03,13.857100,13.857100,13.583500,13.837600,11.307931,16088134
2012-08-06,14.033000,14.072100,13.896200,13.915800,11.371834,10097860
2012-08-07,13.915800,14.033000,13.837600,13.954900,11.403786,9959653
2012-08-08,14.150300,14.150300,13.857100,13.954900,11.403786,4943862
2012-08-09,13.954900,14.209000,13.954900,14.189400,11.595417,15661822
2012-08-10,14.169900,14.228500,14.033000,14.130800,11.547529,9713254
2012-08-13,14.345800,14.345800,13.935300,14.111200,11.531513,8166636
2012-08-14,14.169900,14.287100,14.052600,14.248000,11.643304,9615914
2012-08-15,14.248000,14.248000,13.954900,14.072100,11.499560,9487500
2012-08-16,14.072100,14.130800,13.779000,13.818100,11.291995,13775159
2012-08-17,13.837600,13.935300,13.739900,13.857100,11.323865,14340165
2012-08-20,13.954900,13.954900,13.564000,13.661700,11.164186,15477061
2012-08-21,13.642100,13.759400,13.544400,13.642100,11.148170,10848921
2012-08-22,13.505300,13.603100,13.309900,13.603100,11.116299,13300414
2012-08-23,13.779000,13.857100,13.661700,13.700800,11.196137,17437636
2012-08-24,13.485800,13.700800,13.446700,13.583500,11.100282,7512283
2012-08-27,13.779000,13.779000,13.427200,13.505300,11.036377,8330635
2012-08-28,13.388100,13.603100,13.388100,13.505300,11.036377,10121662
2012-08-29,13.466300,13.485800,13.290300,13.329400,10.892634,13370816
2012-08-30,13.173100,13.212200,13.055800,13.094900,10.701004,21724617
2012-08-31,13.094900,13.173100,12.977600,13.075400,10.685069,14772727
2012-09-03,12.879900,13.036300,12.821300,12.840800,10.493356,27391491
2012-09-04,12.801700,12.840800,12.371700,12.449900,10.173918,43658888
2012-09-05,12.313100,12.332700,11.902700,12.059000,9.854477,35805806
2012-09-06,12.019900,12.176300,11.746300,11.961300,9.774638,95308010
2012-09-07,12.137200,12.449900,12.098100,12.371700,10.110013,44726649
2012-09-10,12.371700,12.469500,12.098100,12.215400,9.982285,32395985
2012-09-11,12.254500,12.254500,12.059000,12.215400,9.982285,13015522
2012-09-12,12.332700,12.449900,12.176300,12.371700,10.110013,8692291
2012-09-13,12.469500,12.567200,12.313100,12.371700,10.110013,11079192
2012-09-14,12.801700,12.958100,12.704000,12.840800,10.493356,23104258
2012-09-17,12.801700,12.860400,12.489000,12.684500,10.365630,20715207
2012-09-18,12.586700,12.723500,12.567200,12.586700,10.285708,16073200
2012-09-19,12.586700,12.840800,12.547700,12.762600,10.429452,25257243
2012-09-20,12.762600,12.801700,12.664900,12.743100,10.413516,30117625
2012-09-21,12.801700,12.879900,12.645400,12.723500,10.397500,30083060
2012-09-24,12.567200,12.684500,12.528100,12.684500,10.365630,13080284
2012-09-25,12.625800,12.704000,12.293600,12.449900,10.173918,18927574
2012-09-26,12.313100,12.371700,12.234900,12.352200,10.094078,12341729
2012-09-27,12.313100,12.704000,12.274000,12.586700,10.285708,16421621
2012-09-28,12.606300,12.840800,12.528100,12.762600,10.429452,19237894
2012-10-03,12.762600,13.153500,12.762600,12.899500,10.541326,13980973
2012-10-04,12.997200,13.094900,12.899500,13.016700,10.637100,10061776
2012-10-05,13.114500,13.446700,13.094900,13.388100,10.940602,26133121
2012-10-08,13.388100,13.388100,13.134000,13.192600,10.780845,14574021
2012-10-09,13.329400,13.583500,13.329400,13.407600,10.956539,11400734
2012-10-10,13.485800,13.544400,13.290300,13.505300,11.036377,10236336
2012-10-11,13.544400,13.876700,13.466300,13.876700,11.339883,33086705
2012-10-12,13.876700,14.130800,13.876700,14.091700,11.515578,35954888
2012-10-15,14.189400,14.209000,13.993900,14.111200,11.531513,19225558
2012-10-16,14.169900,14.169900,13.818100,13.993900,11.435657,19040046
2012-10-17,14.189400,14.248000,13.915800,14.091700,11.515578,15022049
2012-10-18,14.189400,14.619400,14.150300,14.580300,11.914856,41243763
2012-10-19,14.658500,14.658500,14.482600,14.560800,11.898920,19630048
