symbol,name,type_,date,shares,price,cashvalue,fee,dividend,ratio,currency
511010.SS,国债ETF,sell,2016-01-11 11:04:28,300,109.87,32961.0,0,0,0,CNY
03968.HK,招商银行,buy,2016-01-11 18:54:38,2000,15.68,-26944.2,0,0,0,CNY
600016.SS,民生银行,dividend,2016-02-25 19:12:13,0,0,0,0,576.3,0,CNY
900905.SS,老凤祥Ｂ,buy,2016-03-01 09:37:52,600,3.76,-2256.0,0,0,0,USD
01988.HK,民生银行,dividend,2016-03-23 19:07:09,0,0,0,0,600.0,0,CNY
510330.SS,华夏300,buy,2016-05-05 10:45:40,22300,3.336,-74392.8,0,0,0,CNY
000786.SZ,北新建材,dividend,2016-05-12 19:20:12,0,0,0,0,17.5,0,CNY
601166.SS,兴业银行,dividend,2016-06-03 19:40:11,0,0,0,0,329.4,0,CNY
600660.SS,福耀玻璃,dividend,2016-06-07 18:58:57,0,0,0,0,8325.0,0,CNY
601668.SS,中国建筑,dividend,2016-06-15 19:12:08,0,0,0,0,9800.0,0,CNY
600016.SS,民生银行,dividend,2016-06-23 19:24:33,0,0,0,0,1229.44,0,CNY
000651.SZ,格力电器,dividend,2016-07-06 19:23:00,0,0,0,0,28650.0,0,CNY
200869.SZ,张裕Ｂ,dividend,2016-07-11 19:00:45,0,0,0,0,948.65,0,HKD
01988.HK,民生银行,dividend,2016-07-20 18:59:14,0,0,0,0,1280.0,0,CNY
900905.SS,老凤祥Ｂ,dividend,2016-07-26 19:34:19,0,0,0,0,3086.47,0,USD
900905.SS,老凤祥Ｂ,buy,2016-07-28 10:05:53,900,3.57,-3213.0,0,0,0,USD
000002.SZ,万科Ａ,dividend,2016-07-28 19:11:55,0,0,0,0,2057.76,0,CNY
000338.SZ,潍柴动力,dividend,2016-07-28 19:11:55,0,0,0,0,288.0,0,CNY
03968.HK,招商银行,dividend,2016-08-15 19:03:14,0,0,0,0,1104.0,0,CNY
600016.SS,民生银行,dividend,2016-09-23 21:07:49,0,0,0,0,883.66,0,CNY
000338.SZ,潍柴动力,dividend,2016-10-19 19:01:09,0,0,0,0,288.0,0,CNY
01988.HK,民生银行,dividend,2016-10-26 19:23:19,0,0,0,0,920.0,0,CNY
601229.SS,上海银行,sell,2016-11-18 09:42:02,1000,29.81,29810.0,0,0,0,CNY
000651.SZ,格力电器,sell,2016-11-18 09:51:08,9500,22.55,214225.0,0,0,0,CNY
600690.SS,青岛海尔,buy,2016-11-18 09:53:56,12000,9.96,-119520.0,0,0,0,CNY
000333.SZ,美的集团,buy,2016-11-18 09:54:18,5000,27.03,-135150.0,0,0,0,CNY
600909.SS,华安证券,sell,2016-12-14 11:02:28,1000,14.27,14270.0,0,0,0,CNY
002839.SZ,张家港行,sell,2017-02-06 09:49:10,500,8.97,4485.0,0,0,0,CNY
510330.SS,华夏300,sell,2017-03-10 11:02:16,9500,3.657,34741.5,0,0,0,CNY
600031.SS,三一重工,buy,2017-03-14 10:46:21,4500,7.7,-34650.0,0,0,0,CNY
